,DATE,COE$,COE$_1,#Bids,Quota,Open?
0,1990-08-01,7400.0,7750.0,656,472,0
1,1990-09-01,11100.0,7400.0,1462,468,0
2,1990-10-01,5002.0,11100.0,633,472,0
3,1990-11-01,3170.0,5002.0,952,511,0
4,1990-12-01,3410.0,3170.0,919,471,0
5,1991-01-01,2508.0,3410.0,736,467,0
6,1991-02-01,998.0,2508.0,680,470,0
7,1991-03-01,1638.0,998.0,1184,468,0
8,1991-04-01,6062.0,1638.0,1971,480,0
9,1991-05-01,9012.0,6062.0,1387,497,0
10,1991-06-01,11171.0,9012.0,1296,489,0
11,1991-07-01,12368.0,11171.0,969,479,0
12,1991-08-01,12488.0,12368.0,722,478,0
13,1991-09-01,12222.0,12488.0,1044,476,0
14,1991-10-01,14337.0,12222.0,902,486,0
15,1991-11-01,16738.0,14337.0,990,486,0
16,1991-12-01,18080.0,16738.0,1086,611,0
17,1992-01-01,18104.0,18080.0,686,517,0
18,1992-02-01,18587.0,18104.0,1217,478,0
19,1992-03-01,20288.0,18587.0,1328,486,0
20,1992-04-01,25002.0,20288.0,1136,518,0
21,1992-05-01,31888.0,25002.0,1194,607,0
22,1992-06-01,23870.0,31888.0,988,504,0
23,1992-07-01,24018.0,23870.0,855,508,0
24,1992-08-01,25060.0,24018.0,915,513,0
25,1992-09-01,26014.0,25060.0,881,496,0
26,1992-10-01,26984.0,26014.0,1026,500,0
27,1992-11-01,22890.0,26984.0,2656,1141,0
28,1992-12-01,20018.0,22890.0,1921,1149,0
29,1993-01-01,16100.0,20018.0,2114,1201,0
30,1993-02-01,16650.0,16100.0,2361,1139,0
31,1993-03-01,22820.0,16650.0,2382,899,0
32,1993-04-01,28420.0,22820.0,2384,943,0
33,1993-05-01,26700.0,28420.0,1817,919,0
34,1993-06-01,27510.0,26700.0,1681,914,0
35,1993-07-01,28826.0,27510.0,1812,915,0
36,1993-08-01,30360.0,28826.0,1998,968,0
37,1993-09-01,32960.0,30360.0,1960,912,0
38,1993-10-01,37700.0,32960.0,2250,914,0
39,1993-11-01,47808.0,37700.0,1793,654,0
40,1993-12-01,63798.0,47808.0,2319,657,0
41,1994-01-01,65996.0,63798.0,1558,659,0
42,1994-02-01,52440.0,65996.0,1149,653,0
43,1994-03-01,52896.0,52440.0,1272,653,0
44,1994-04-01,57760.0,52896.0,1394,634,0
45,1994-05-01,62400.0,57760.0,1129,640,0
46,1994-06-01,65590.0,62400.0,967,647,0
47,1994-07-01,72992.0,65590.0,1267,621,0
48,1994-08-01,83800.0,72992.0,1122,640,0
49,1994-09-01,94008.0,83800.0,1306,621,0
50,1994-10-01,105000.0,94008.0,887,660,0
51,1994-11-01,95986.0,105000.0,832,624,0
52,1994-12-01,69000.0,95986.0,672,617,0
53,1995-01-01,39500.0,69000.0,965,616,0
54,1995-02-01,45002.0,39500.0,1985,641,0
55,1995-03-01,43888.0,45002.0,995,636,0
56,1995-04-01,63000.0,43888.0,2020,538,0
